subject_code,prerequisite_code,requirement_type,rule_type,rule_group,threshold_value
ENGL 101,ENGL 100,prerequisite,and,1,
MATH 101,MATH 100,prerequisite,and,1,
CC-COMPROG12,CC-COMPROG11,prerequisite,and,1,
CC-DISCRET12,CC-INTCOM11,prerequisite,and,1,
PE 102,PE 101,prerequisite,and,1,
NSTP 102,NSTP 101,prerequisite,and,1,
CC-DIGILOG21,CC-DISCRET12,prerequisite,and,1,
IT-OOPROG21,CC-COMPROG12,prerequisite,and,1,
IT-SAD21,CC-COMPROG12,prerequisite,and,1,
CC-ACCTG21,MATH 101,prerequisite,and,1,
CC-TWRITE21,ENGL 101,prerequisite,and,1,
CC-TWRITE21,CC-INTCOM11,prerequisite,and,2,
PE 103,PE 102,prerequisite,and,1,
CC-QUAMETH22,CC-DISCRET12,prerequisite,and,1,
IT-PLATECH22,CC-DIGILOG21,prerequisite,and,1,
CC-APPSDEV22,IT-OOPROG21,prerequisite,and,1,
CC-APPSDEV22,IT-SAD21,prerequisite,and,2,
CC-DASTRUC22,IT-OOPROG21,prerequisite,and,1,
CC-DATACOM22,CC-DIGILOG21,prerequisite,and,1,
PE 104,PE 103,prerequisite,and,1,
IT-IMDBSYS31,CC-APPSDEV22,prerequisite,and,1,
IT-NETWORK31,CC-DATACOM22,prerequisite,and,1,
IT-TESTQUA31,CC-APPSDEV22,prerequisite,and,1,
CC-HCI31,IT-SAD21,prerequisite,and,1,
CC-RESCOM31,CC-TWRITE21,prerequisite,and,1,
CC-RESCOM31,CC-QUAMETH22,prerequisite,and,2,
IT-IMDBSYS32,IT-IMDBSYS31,prerequisite,and,1,
IT-INFOSEC32,IT-IMDBSYS31,prerequisite,and,1,
IT-INFOSEC32,IT-NETWORK31,prerequisite,and,2,
IT-SYSARCH32,IT-TESTQUA31,prerequisite,and,1,
IT-SYSARCH32,CC-HCI31,prerequisite,and,2,
CC-TECHNO32,CC-RESCOM31,prerequisite,and,1,
IT-INTPROG32,IT-IMDBSYS31,prerequisite,and,1,
IT-SYSADMN32,IT-NETWORK31,prerequisite,and,1,
CC-PROFIS10,,standing,and,1,2
IT-CPSTONE30,,standing,and,1,3
IT-CPSTONE40,IT-CPSTONE30,prerequisite,and,1,
