code,title,units,year_level,term,is_elective
ENGL 100,Communication Arts,3,1,1,false
SOCIO 102,Gender and Society,3,1,1,false
MATH 100,College Mathematics,3,1,1,false
PSYCH 101,Understanding the Self,3,1,1,false
CC-INTCOM11,Introduction to Computing,3,1,1,false
CC-COMPROG11,Computer Programming 1,3,1,1,false
IT-WEBDEV11,Web Design & Development,3,1,1,false
PE 101,Movement Competency Training (PATHFit 1),2,1,1,false
NSTP 101,National Service Training Program 1,3,1,1,false
ENGL 101,Purposive Communication,3,1,2,false
ENTREP 101,The Entrepreneurial Mind,3,1,2,false
MATH 101,Mathematics in the Modern World,3,1,2,false
HIST 101,Readings in Philippine History,3,1,2,false
HUM 101,Art Appreciation,3,1,2,false
CC-COMPROG12,Computer Programming 2,3,1,2,false
CC-DISCRET12,Discrete Structures,3,1,2,false
PE 102,Exercise-based Fitness Activities (PATHFit 2),2,1,2,false
NSTP 102,National Service Training Program 2,3,1,2,false
SOCIO 101,The Contemporary World,3,2,1,false
RIZAL 101,"Life, Works & Writings of Dr. Jose Rizal",3,2,1,false
CC-DIGILOG21,Digital Logic Design,3,2,1,false
IT-OOPROG21,Object Oriented Programming,3,2,1,false
IT-SAD21,System Analysis & Design,3,2,1,false
CC-ACCTG21,Accounting for IT,3,2,1,false
CC-TWRITE21,Technical Writing & Presentation Skills in IT,3,2,1,false
PE 103,Sports and Dance (PATHFit 3),2,2,1,false
STS 101,"Science, Technology & Society",3,2,2,false
PHILO 101,Ethics,3,2,2,false
CC-QUAMETH22,Quantitative Methods w/ Prob. Stat.,3,2,2,false
IT-PLATECH22,Platform Technologies w/ Op. Sys.,3,2,2,false
CC-APPSDEV22,Applications Dev't & Emerging Tech.,3,2,2,false
CC-DASTRUC22,Data Structures & Algorithms,3,2,2,false
CC-DATACOM22,Data Communications,3,2,2,false
PE 104,Sports/Outdoor Adventure (PATHFit 4),2,2,2,false
IT-IMDBSYS31,Information Management (DB Sys. 1),3,3,1,false
IT-NETWORK31,Computer Networks,3,3,1,false
IT-TESTQUA31,Testing & Quality Assurance,3,3,1,false
CC-HCI31,Human Computer Interaction,3,3,1,false
CC-RESCOM31,Methods of Research in Computing,3,3,1,false
IT-EL1,IT Elective 1,3,3,1,true
IT-FRE1,Free Elective 1,3,3,1,true
IT-FRE2,Free Elective 2,3,3,1,true
IT-IMDBSYS32,Information Management (DB Sys. 2),3,3,2,false
IT-INFOSEC32,Information Assurance & Security,3,3,2,false
IT-SYSARCH32,System Integration & Architecture,3,3,2,false
CC-TECHNO32,Technopreneurship,3,3,2,false
IT-INTPROG32,Integrative Prog'g & Technologies,3,3,2,false
IT-SYSADMN32,Systems Administration & Maintenance,3,3,2,false
IT-EL2,IT Elective 2,3,3,2,true
IT-FRE3,Free Elective 3,3,3,2,true
IT-CPSTONE30,Capstone Project 1,3,3,3,false
CC-PROFIS10,Professional Issues in Computing,3,3,3,false
LIT 11,Literatures of the World,3,4,1,false
IT-CPSTONE40,Capstone Project 2,3,4,1,false
IT-EL3,IT Elective 3,3,4,1,true
IT-FRE4,Free Elective 4,3,4,1,true
CC-PRACT40,Practicum,9,4,2,false
IT-EL4,IT Elective 4,3,4,2,true
